host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,accommodates,bathrooms,bedrooms,beds,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,review_scores_rating
< 1 hour ,100.0,1,2.0,2.0,4,1,2,1.0,1.0,1.0,19,110,2,25,2,1125,63,1,0,strict,0,0,2,2.3,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,13,85,1,0,2,1125,10,0,0,moderate,0,0,1,0.36,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,0.0,1.0,17,127,1,0,3,1125,3,0,0,strict,0,0,1,0.11,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,9,1,1,1.0,1.0,1.0,13,60,1,0,1,1125,1,0,0,flexible,0,0,1,0.04,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,4,1.0,1.0,1.0,24,109,2,20,4,12,7,0,0,moderate,0,0,1,0.31,96.0
< 1 hour ,100.0,1,2.0,2.0,4,1,2,1.0,1.0,1.0,17,110,2,25,2,1125,73,1,0,strict,0,0,2,2.62,98.0
< 1 hour ,100.0,0,1.0,1.0,10,1,3,1.0,1.0,2.0,18,189,3,25,2,1125,134,1,1,strict,0,0,1,4.76,91.0
< 1 hour ,93.48038995125609,0,1.0,1.0,6,1,2,1.0,1.0,1.0,15,85,1,0,5,1125,2,0,0,moderate,0,0,1,0.2,90.0
1 day,100.0,0,1.0,1.0,4,1,3,1.0,1.0,1.0,26,75,2,100,1,1125,51,0,0,moderate,0,0,1,1.82,92.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.0,1.0,1.0,8,80,1,0,1,1125,2,0,0,flexible,0,0,1,0.07,60.0
1 day,100.0,0,2.0,2.0,5,1,4,1.0,1.0,2.0,19,150,2,10,3,13,3,0,0,flexible,0,0,2,0.11,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,8,1,4,1.0,2.0,2.0,12,199,1,0,2,1125,1,0,0,flexible,0,0,1,0.04,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,6,1,2,1.0,1.0,1.0,14,125,1,0,2,1125,15,1,0,strict,0,0,1,0.54,91.0
< 1 hour ,100.0,1,5.0,5.0,3,1,6,2.0,3.0,4.0,20,650,1,0,3,60,82,1,1,strict,0,0,1,3.22,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,12,60,1,20,1,7,20,0,0,moderate,0,0,1,0.84,95.0
< 1 hour ,100.0,1,4.0,4.0,4,1,2,1.0,1.0,1.0,20,57,2,0,5,40,41,0,0,strict,0,0,4,1.52,99.0
< 1 hour ,93.48038995125609,0,1.0,1.0,6,1,4,1.0,2.0,2.0,15,200,1,0,1,1125,2,0,0,flexible,0,0,1,0.07,90.0
1 day,50.0,0,1.0,1.0,5,1,2,1.5,1.0,1.0,22,75,1,0,4,1125,35,0,0,strict,0,0,1,1.27,99.0
< 1 hour ,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,22,100,1,0,1,1125,12,1,0,moderate,0,0,1,0.44,93.0
hours,100.0,1,5.0,5.0,8,1,6,1.0,1.0,4.0,50,140,2,20,2,1125,41,0,1,strict,0,0,2,1.46,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,8,98,1,0,4,50,7,1,0,moderate,0,0,1,0.25,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,1,1.0,1.0,1.0,15,80,1,0,1,1125,1,0,0,flexible,0,0,1,0.04,100.0
< 1 hour ,100.0,0,1.0,1.0,5,1,7,1.0,3.0,3.0,20,76,3,25,2,1125,15,0,0,moderate,0,0,1,1.26,80.0
1 day,67.0,0,2.0,2.0,5,1,1,1.0,1.0,1.0,17,50,1,0,3,29,21,0,0,strict,0,0,2,0.86,88.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.0,1.0,1.0,17,135,1,75,2,7,94,0,0,strict,0,0,1,3.43,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,8,1,2,1.0,1.0,1.0,25,250,2,30,2,1125,7,0,0,moderate,0,0,1,0.26,97.0
1 day,80.0,0,3.0,3.0,4,1,1,1.0,1.0,1.0,19,51,1,50,12,180,1,0,0,strict,0,0,2,0.04,100.0
1 day,100.0,0,1.0,1.0,5,1,2,1.0,0.0,1.0,15,90,1,0,5,35,9,0,0,strict,0,0,1,0.32,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,5,1.0,2.0,3.0,16,130,3,10,2,1125,4,0,0,strict,0,0,1,0.15,95.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,15,60,1,0,2,1125,55,0,0,moderate,0,0,1,1.97,89.0
hours,100.0,0,2.0,2.0,4,1,3,1.0,1.0,2.0,16,69,1,30,1,1125,17,0,0,strict,0,0,2,0.62,93.0
< 1 hour ,100.0,1,3.0,3.0,5,1,11,2.0,5.0,6.0,35,465,6,30,3,30,23,1,0,strict,0,0,3,1.08,96.0
< 1 hour ,100.0,0,4.0,4.0,5,1,2,1.0,1.0,1.0,19,135,1,0,2,1125,58,0,1,flexible,0,0,1,2.36,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,6,1,4,1.0,1.0,1.0,14,126,2,10,1,1125,3,0,0,strict,0,0,1,0.11,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,4,1.0,1.0,2.0,17,139,4,50,3,1125,18,0,0,strict,0,0,1,0.75,92.0
< 1 hour ,100.0,0,7.0,7.0,4,1,3,1.0,1.0,2.0,24,50,2,23,2,27,42,1,0,strict,0,0,7,1.5,86.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.0,1.0,1.0,18,200,1,35,1,15,9,0,0,strict,0,0,1,0.32,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,1,1.0,0.0,1.0,8,40,1,0,1,1125,1,0,0,flexible,0,0,1,0.04,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,14,62,1,20,4,1125,2,0,0,strict,0,0,1,0.08,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,0.0,1.0,7,99,1,0,30,1125,7,0,0,strict,0,0,1,0.26,94.0
< 1 hour ,100.0,0,7.0,7.0,4,1,3,1.0,1.0,2.0,27,50,2,20,3,27,50,0,0,strict,0,0,7,1.78,88.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,3,1.0,1.0,1.0,14,185,1,0,2,1125,3,0,0,moderate,0,0,1,0.11,93.0
< 1 hour ,100.0,0,2.0,2.0,6,1,1,1.0,1.0,1.0,11,60,1,0,3,1125,6,0,0,strict,0,0,2,0.36,93.0
< 1 hour ,93.48038995125609,0,2.0,2.0,5,1,4,1.0,2.0,2.0,14,134,1,0,2,1125,2,0,0,flexible,0,0,2,0.07,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,17,200,1,0,1,1125,1,0,0,flexible,0,0,1,0.04,100.0
hours,100.0,0,1.0,1.0,5,1,2,1.0,1.0,1.0,26,190,2,30,2,15,38,0,1,strict,0,0,1,1.39,97.0
1 day,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,18,75,1,0,10,1125,11,0,0,moderate,0,0,1,0.45,87.0
1 day,100.0,1,1.0,1.0,5,1,2,1.0,1.0,1.0,13,90,1,0,2,8,56,0,0,moderate,0,0,1,2.03,96.0
< 1 hour ,93.48038995125609,0,2.0,2.0,7,1,6,2.5,3.0,3.0,18,115,4,50,1,1125,1,0,0,moderate,0,0,2,0.04,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,6,1,3,1.0,1.0,2.0,19,245,2,15,10,1125,6,0,0,strict,0,0,1,0.22,96.0
hours,100.0,0,3.0,3.0,4,1,5,1.0,0.0,3.0,21,90,2,0,1,1125,95,0,0,strict,0,0,3,3.47,88.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,3,1.0,0.0,1.0,14,111,2,50,5,1125,13,0,0,strict,0,0,1,0.46,98.0
hours,100.0,0,4.0,4.0,5,1,5,1.0,2.0,2.0,23,385,1,0,2,1125,76,1,1,strict,0,0,1,2.69,95.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,1,1.0,1.0,1.0,17,85,1,0,4,30,4,0,0,strict,0,0,1,0.22,100.0
< 1 hour ,100.0,1,1.0,1.0,3,1,4,1.0,1.0,1.0,27,75,1,0,2,1125,95,1,0,strict,0,0,1,3.42,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.0,1.0,1.0,23,150,2,25,2,1125,2,0,0,moderate,0,0,1,0.07,100.0
< 1 hour ,93.48038995125609,0,2.0,2.0,7,1,4,1.5,1.0,2.0,14,57,2,20,1,1125,10,0,0,moderate,0,0,2,0.35,88.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,6,1.5,2.0,3.0,23,425,1,0,6,1125,1,0,0,flexible,0,0,1,0.04,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,4,1.0,1.0,2.0,27,90,2,20,30,1125,4,0,0,strict,0,0,1,0.15,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.5,1.0,1.0,17,65,1,25,1,30,11,0,0,flexible,0,0,1,0.39,95.0
hours,100.0,0,2.0,2.0,4,1,1,1.5,1.0,1.0,12,65,1,50,15,1125,1,0,0,flexible,0,0,1,0.05,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,2,1,5,2.0,2.0,2.0,21,250,5,100,3,1125,5,0,0,flexible,0,0,1,0.3,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,9,1,1,2.0,1.0,1.0,11,34,1,0,55,1125,2,0,0,moderate,0,0,1,0.33,100.0
< 1 hour ,100.0,1,2.0,2.0,4,1,2,1.0,1.0,1.0,23,225,1,0,10,1125,2,0,0,strict,0,0,2,0.08,90.0
1 day,80.0,0,3.0,3.0,8,1,2,1.0,1.0,1.0,9,99,2,0,2,1125,2,0,0,strict,0,0,3,0.1,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,0.0,2.0,21,100,1,0,1,7,8,0,0,moderate,0,0,1,0.3,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,25,150,1,0,4,1125,8,0,0,strict,0,0,1,0.31,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,0.0,1.0,14,190,2,100,4,1125,1,0,0,strict,0,0,1,0.04,100.0
< 1 hour ,100.0,1,1.0,1.0,3,1,4,1.0,1.0,2.0,23,190,2,40,2,1125,59,1,0,moderate,0,0,1,2.16,97.0
1 day,50.0,0,2.0,2.0,4,1,4,1.0,1.0,1.0,21,47,1,20,3,31,5,0,0,moderate,0,0,2,0.18,60.0
< 1 hour ,93.48038995125609,0,1.0,1.0,2,1,2,1.0,1.0,1.0,14,51,1,0,1,1125,6,0,0,flexible,0,0,1,0.22,100.0
< 1 hour ,100.0,1,3.0,3.0,5,1,5,1.0,3.0,3.0,36,230,4,25,3,90,28,1,0,strict,0,0,3,1.22,96.0
< 1 hour ,100.0,1,3.0,3.0,5,1,6,1.0,2.0,3.0,26,200,4,25,3,30,34,1,0,strict,0,0,3,1.24,96.0
< 1 hour ,92.0,0,2.0,2.0,8,1,6,1.0,2.0,3.0,11,128,4,30,2,60,43,1,0,strict,0,0,2,1.59,82.0
< 1 hour ,100.0,0,1.0,1.0,4,1,8,1.0,2.0,2.0,14,200,1,0,5,1125,27,0,0,strict,0,0,1,0.99,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.5,1.0,1.0,15,99,1,0,2,1125,3,0,0,moderate,0,0,1,0.11,100.0
1 day,86.0,1,1.0,1.0,5,1,2,1.0,1.0,1.0,15,140,1,0,4,60,23,0,0,flexible,0,0,1,0.86,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,29,72,1,0,4,1125,4,0,0,strict,0,0,1,0.15,90.0
< 1 hour ,100.0,0,2.0,2.0,4,1,1,1.0,1.0,1.0,8,35,1,0,2,8,8,0,0,moderate,0,0,2,0.29,98.0
< 1 hour ,100.0,1,1.0,1.0,4,1,6,1.5,1.0,3.0,30,165,4,10,2,12,98,1,0,moderate,0,0,1,3.53,95.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,4,1.0,1.0,2.0,20,100,2,15,6,1125,1,0,0,strict,0,0,1,0.04,80.0
< 1 hour ,89.0,0,1.0,1.0,3,1,4,1.0,2.0,4.0,25,110,2,25,4,1125,28,0,0,strict,0,0,1,1.26,91.0
< 1 hour ,100.0,1,1.0,1.0,4,1,3,1.0,2.0,2.0,29,209,3,75,1,1125,93,0,1,moderate,0,0,1,3.97,97.0
< 1 hour ,93.48038995125609,0,1.0,1.0,6,1,1,1.0,1.0,1.0,17,110,1,0,1,1125,1,0,0,flexible,0,0,1,0.04,100.0
1 day,100.0,0,1.0,1.0,5,1,4,1.0,1.0,2.0,20,231,1,0,3,1125,5,0,0,flexible,0,0,1,0.22,96.0
< 1 hour ,100.0,0,3.0,3.0,5,1,1,1.0,1.0,1.0,9,32,1,7,10,1125,7,0,0,strict,0,0,1,0.27,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,2.0,1.0,1.0,10,50,1,0,7,1125,4,0,0,strict,0,0,1,0.15,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,1,1.0,1.0,1.0,10,90,1,0,1,1125,1,0,0,flexible,0,0,1,0.04,100.0
< 1 hour ,93.48038995125609,0,2.0,2.0,4,1,4,1.0,1.0,1.0,15,80,1,0,2,1125,3,0,0,moderate,0,0,1,0.11,93.0
< 1 hour ,100.0,1,2.0,2.0,5,1,2,1.0,1.0,1.0,18,60,1,30,1,25,32,0,0,strict,0,0,2,1.32,94.0
< 1 hour ,93.48038995125609,0,1.0,1.0,8,1,2,1.0,0.0,1.0,15,70,1,0,30,30,1,0,0,strict,0,0,1,0.04,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,5,1.5,1.0,1.0,17,175,2,20,3,1125,4,0,0,strict,0,0,1,0.14,95.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,4,1.0,1.0,3.0,10,125,2,50,1,1125,1,0,0,strict,0,0,1,0.04,100.0
1 day,50.0,0,1.0,1.0,3,1,2,1.0,1.0,2.0,21,88,1,35,2,5,6,0,0,strict,0,0,1,0.27,100.0
1 day,100.0,0,1.0,1.0,3,1,1,1.0,1.0,1.0,9,100,1,0,2,10,4,0,0,flexible,0,0,1,0.19,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,4,1.5,2.0,2.0,20,200,1,0,8,1125,2,0,0,strict,0,0,1,0.08,100.0
hours,100.0,1,3.0,3.0,6,1,2,1.0,1.0,1.0,18,100,1,30,3,1125,64,0,0,moderate,0,0,3,2.37,99.0
1 day,100.0,0,1.0,1.0,5,1,4,1.0,1.0,2.0,37,150,2,10,2,31,1,0,0,strict,0,0,1,0.38,100.0
1 day,100.0,0,1.0,1.0,6,1,4,1.0,2.0,2.0,18,144,2,25,2,1125,9,0,0,moderate,0,0,1,0.32,98.0
1 day,100.0,0,1.0,1.0,5,1,4,1.0,2.0,2.0,12,125,1,0,1,1125,16,0,0,moderate,0,0,1,0.58,94.0
1 day,57.0,0,1.0,1.0,3,1,2,1.0,1.0,1.0,13,55,2,40,1,1125,36,0,0,moderate,0,0,1,1.31,89.0
1 day,100.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,20,95,2,50,1,1125,11,0,0,strict,0,0,2,0.46,95.0
1 day,100.0,0,2.0,2.0,4,1,4,1.0,2.0,2.0,18,220,1,0,2,1125,3,0,0,strict,0,0,2,0.11,100.0
hours,83.0,0,2.0,2.0,7,1,2,1.0,1.0,1.0,19,85,1,0,1,1125,1,0,0,flexible,0,0,2,0.04,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,26,169,1,35,5,1125,1,0,0,flexible,0,0,1,0.06,100.0
< 1 hour ,93.48038995125609,0,2.0,2.0,5,1,2,1.0,1.0,1.0,17,118,1,0,3,1125,5,0,0,moderate,0,0,1,0.35,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.0,1.0,2.0,7,195,2,50,5,1125,1,0,0,flexible,0,0,1,0.04,80.0
< 1 hour ,100.0,0,2.0,2.0,3,1,1,1.0,1.0,1.0,11,50,1,20,3,30,9,0,0,strict,0,0,2,2.16,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,16,85,1,0,1,1125,1,0,0,flexible,0,0,1,0.04,20.0
days,22.0,0,1.0,1.0,4,1,3,1.0,1.0,1.0,15,225,1,0,4,1125,7,0,0,strict,0,0,1,0.27,89.0
< 1 hour ,75.0,1,1.0,1.0,4,1,4,1.5,2.0,3.0,40,450,4,80,4,1125,60,1,0,strict,0,0,1,2.13,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,6,1.0,2.0,4.0,21,200,6,25,5,1125,5,0,1,moderate,0,0,1,0.19,100.0
< 1 hour ,100.0,1,3.0,3.0,6,1,4,1.0,2.0,2.0,17,161,6,0,2,1125,15,1,0,flexible,0,0,3,0.54,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,15,249,1,0,2,11,1,0,0,flexible,0,0,1,0.04,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.0,1.0,1.0,22,110,2,25,2,1125,24,0,1,moderate,0,0,1,0.9,98.0
hours,83.0,0,8.0,8.0,4,1,3,1.0,0.0,1.0,23,79,2,25,30,180,5,0,0,flexible,0,0,7,0.22,76.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,2.0,2.0,2.0,20,200,3,50,1,1125,1,0,0,flexible,0,0,1,0.04,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,14,99,1,0,1,1125,5,0,0,flexible,0,0,1,0.19,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,12,76,2,0,30,1125,2,0,0,strict,0,0,1,0.08,100.0
< 1 hour ,100.0,1,2.0,2.0,6,1,2,1.0,1.0,1.0,28,250,2,0,2,20,3,0,1,moderate,0,0,2,1.3,100.0
< 1 hour ,100.0,0,1.0,1.0,4,1,8,1.5,4.0,4.0,36,599,8,0,2,1125,92,1,1,strict,0,0,1,3.31,89.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.0,1.0,1.0,12,55,1,0,3,1125,11,0,0,flexible,0,0,1,0.4,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,7,1,2,1.0,1.0,1.0,17,80,3,30,5,1125,12,0,0,moderate,0,0,1,0.45,96.0
< 1 hour ,100.0,0,1.0,1.0,3,1,6,1.0,2.0,3.0,21,209,4,25,3,1125,65,1,0,strict,0,0,1,2.38,84.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,3,1.0,1.0,1.0,14,220,1,0,2,1125,10,0,0,flexible,0,0,1,0.37,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,4,1.0,2.0,2.0,12,400,2,10,1,1125,3,0,0,strict,0,0,1,0.14,87.0
< 1 hour ,93.48038995125609,0,3.0,3.0,5,1,4,1.0,2.0,2.0,17,98,4,10,4,1125,3,0,0,strict,0,0,3,0.11,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,13,63,1,10,2,1125,2,0,0,strict,0,0,1,0.09,80.0
< 1 hour ,100.0,1,3.0,3.0,4,1,3,1.0,1.0,2.0,17,69,2,25,2,1125,40,0,0,moderate,0,0,3,1.48,95.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,17,80,1,0,7,1125,2,1,0,strict,0,0,1,0.08,70.0
< 1 hour ,100.0,0,1.0,1.0,5,1,2,1.0,1.0,1.0,17,121,1,25,3,1125,112,0,0,strict,0,0,1,4.0,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,0.0,1.0,14,140,1,0,4,9,2,0,0,flexible,0,0,1,0.07,100.0
< 1 hour ,100.0,1,2.0,2.0,5,1,5,1.0,2.0,2.0,21,150,2,15,4,1125,40,0,0,moderate,0,0,2,1.52,100.0
days,100.0,0,1.0,1.0,4,1,4,1.0,1.0,1.0,16,100,1,0,7,1125,15,0,0,strict,0,0,1,0.68,97.0
hours,100.0,1,3.0,3.0,4,1,4,1.0,2.0,2.0,22,220,1,0,4,60,9,0,0,strict,0,0,3,0.34,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,1,1.5,1.0,1.0,10,40,1,0,1,1125,3,0,0,strict,0,0,1,0.11,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,20,100,1,50,2,1125,23,0,0,moderate,0,0,1,0.84,98.0
hours,76.0,0,3.0,3.0,4,1,5,1.0,2.0,3.0,18,170,4,60,2,1125,76,1,0,moderate,0,0,3,2.77,95.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.0,1.0,1.0,13,120,1,0,8,1125,6,0,0,strict,0,0,1,0.21,93.0
< 1 hour ,100.0,0,2.0,2.0,6,1,4,1.5,1.0,2.0,11,60,2,20,1,1125,79,0,0,strict,0,0,2,2.82,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,1,1.0,1.0,1.0,18,60,1,0,5,1125,1,0,0,strict,0,0,1,0.04,100.0
1 day,67.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,14,180,1,0,7,1125,13,0,0,strict,0,0,1,0.47,94.0
1 day,100.0,0,2.0,2.0,7,1,2,1.0,1.0,1.0,19,109,1,0,5,1000,8,0,0,flexible,0,0,2,0.33,94.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,0.0,1.0,19,170,1,0,3,14,10,0,0,moderate,0,0,1,0.54,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,0.0,1.0,25,250,1,0,2,7,9,0,1,moderate,0,0,1,0.34,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,7,150,2,50,1,1125,1,0,0,flexible,0,0,1,0.04,100.0
< 1 hour ,100.0,0,3.0,3.0,4,1,1,1.0,1.0,1.0,18,24,1,0,1,7,158,1,0,strict,0,0,2,5.64,96.0
hours,100.0,0,1.0,1.0,6,1,2,1.0,1.0,1.0,39,50,1,5,3,1125,10,0,0,strict,0,0,1,0.37,100.0
1 day,100.0,1,1.0,1.0,3,1,2,1.0,1.0,1.0,23,149,1,0,3,1125,28,0,0,moderate,0,0,1,1.03,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,10,205,2,0,3,1125,2,0,0,moderate,0,0,1,0.08,100.0
< 1 hour ,100.0,0,0.0,0.0,5,1,2,1.0,1.0,1.0,9,150,1,0,2,1125,2,0,0,flexible,0,0,1,0.08,100.0
hours,100.0,0,1.0,1.0,5,1,9,1.0,2.0,4.0,13,225,1,0,1,30,18,0,0,strict,0,0,1,0.67,95.0
< 1 hour ,93.48038995125609,0,1.0,1.0,6,1,2,1.0,1.0,1.0,17,90,1,10,2,1125,1,0,0,moderate,0,0,1,0.07,100.0
1 day,100.0,1,6.0,6.0,7,1,4,2.0,1.0,4.0,22,25,1,29,30,1125,4,1,0,strict,0,0,6,0.15,95.0
hours,100.0,0,1.0,1.0,3,1,2,1.0,1.0,1.0,16,65,1,0,30,90,32,0,0,flexible,0,0,1,1.15,94.0
< 1 hour ,93.48038995125609,0,1.0,1.0,2,1,4,1.0,1.0,1.0,10,250,1,0,2,1125,1,0,0,moderate,0,0,1,0.04,100.0
< 1 hour ,100.0,1,2.0,2.0,5,1,8,1.0,3.0,4.0,19,140,2,20,29,1125,10,1,1,flexible,0,0,2,0.45,96.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,4,1.0,1.0,3.0,13,110,1,0,3,1125,4,0,0,strict,0,0,1,0.15,90.0
hours,100.0,0,1.0,1.0,5,1,3,1.0,1.0,2.0,17,120,1,30,4,1125,42,1,0,strict,0,0,1,1.55,86.0
1 day,86.0,0,1.0,1.0,5,1,4,1.0,1.0,2.0,18,40,1,15,3,180,1,0,0,flexible,0,0,1,0.48,20.0
< 1 hour ,90.0,0,2.0,2.0,5,1,4,1.0,2.0,2.0,15,155,1,0,3,365,62,0,0,strict,0,0,2,2.53,95.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,16,60,1,15,2,1125,1,0,0,strict,0,0,1,0.05,100.0
< 1 hour ,100.0,1,1.0,1.0,4,1,2,1.0,1.0,1.0,23,129,1,0,5,30,76,1,1,moderate,0,0,1,2.87,98.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,3,1.0,1.0,1.0,12,205,1,0,2,1125,1,0,0,flexible,0,0,1,0.04,100.0
1 day,100.0,0,1.0,1.0,3,1,2,1.0,1.0,1.0,24,50,1,15,4,1125,4,0,0,moderate,0,0,1,0.2,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,6,1,4,1.0,1.0,1.0,24,200,2,15,3,3,3,1,0,strict,0,0,1,0.11,93.0
< 1 hour ,93.48038995125609,0,1.0,1.0,8,1,4,1.0,0.0,3.0,15,183,1,0,1,1125,1,0,0,strict,0,0,1,0.04,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.0,0.0,1.0,19,90,1,0,14,1125,7,0,0,strict,0,0,1,0.26,97.0
1 day,100.0,0,2.0,2.0,5,1,4,1.0,2.0,2.0,13,319,1,0,1,1125,22,0,0,moderate,0,0,2,0.79,84.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,7,1.0,3.0,3.0,14,500,1,0,3,1125,3,0,0,strict,0,0,1,0.11,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,1,2.0,1.0,1.0,12,60,1,0,1,1125,4,0,0,strict,0,0,1,0.14,100.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,6,1.0,1.0,1.0,18,199,3,0,1,1125,13,0,0,strict,0,0,1,0.47,95.0
< 1 hour ,100.0,0,1.0,1.0,6,1,1,1.0,1.0,1.0,11,36,1,10,2,1125,5,1,0,flexible,0,0,1,0.41,85.0
hours,100.0,0,1.0,1.0,6,1,2,1.0,1.0,1.0,10,94,1,20,4,8,22,0,0,flexible,0,0,1,1.01,96.0
hours,80.0,0,3.0,3.0,5,1,2,1.0,1.0,1.0,23,84,2,10,2,1125,37,0,0,strict,0,0,3,1.38,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,3,1,2,1.0,1.0,1.0,15,100,1,0,1,1125,1,1,0,flexible,0,0,1,0.04,80.0
< 1 hour ,93.48038995125609,0,1.0,1.0,4,1,2,1.0,1.0,1.0,20,130,2,90,2,1125,9,1,0,flexible,0,0,1,0.4,100.0
< 1 hour ,93.48038995125609,0,3.0,3.0,4,1,6,1.0,3.0,3.0,12,285,1,0,4,1125,1,0,0,strict,0,0,3,0.04,80.0
days,0.0,0,1.0,1.0,4,1,4,1.0,1.0,3.0,17,95,2,10,3,21,3,0,0,moderate,0,0,1,0.11,93.0
