host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,accommodates,bathrooms,bedrooms,beds,amenities,price,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,review_scores_rating
hours,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,16,110,2,150,5,365,65,0,0,moderate,0,0,1,0.71,95.0
hours,90.0,1,2.0,2.0,8,1,6,1.0,2.0,3.0,46,238,6,20,3,1125,57,1,0,strict,0,0,2,0.57,92.0
hours,90.0,0,2.0,2.0,4,1,4,1.0,1.0,1.0,12,89,1,45,1,730,22,0,0,strict,0,0,2,0.23,79.0
1 day,90.0,1,1.0,1.0,4,1,3,1.0,2.0,2.0,16,98,2,20,5,60,80,0,0,strict,0,0,1,0.88,97.0
1 day,100.0,1,3.0,3.0,4,1,3,1.0,1.0,2.0,21,225,2,25,4,5000,126,0,0,strict,0,0,1,1.31,92.0
1 day,100.0,1,3.0,3.0,4,1,8,2.0,4.0,4.0,48,339,6,0,5,365,125,0,1,strict,0,0,3,1.38,99.0
1 day,90.0,0,2.0,2.0,4,1,2,1.0,1.0,2.0,12,55,1,25,7,150,27,0,0,strict,0,0,1,0.27,92.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,1,1.0,1.0,1.0,20,75,1,0,1,60,36,0,0,strict,0,0,1,0.36,96.0
1 day,100.0,0,1.0,1.0,7,1,4,2.0,2.0,3.0,20,225,1,0,3,14,4,0,0,moderate,0,0,1,0.49,100.0
hours,92.0,1,2.0,2.0,6,1,2,1.0,1.0,1.0,31,80,1,30,1,30,228,0,0,moderate,1,1,2,4.13,94.0
< 1 hour ,100.0,0,2.0,2.0,4,1,4,1.0,1.0,3.0,25,250,1,25,1,1125,110,0,0,strict,0,0,2,1.23,92.0
hours,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,10,120,2,0,1,365,309,0,0,strict,0,0,1,3.2,92.0
< 1 hour ,100.0,1,3.0,3.0,5,1,1,1.0,1.0,1.0,17,79,1,0,1,30,66,0,0,strict,0,0,2,0.98,92.0
1 day,85.0,0,517.0,517.0,5,1,2,1.0,0.0,1.0,21,329,1,0,3,365,1,0,0,+strict,0,1,9,0.39,80.0
hours,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,14,110,1,0,6,21,57,0,0,strict,1,1,1,0.65,95.0
hours,100.0,1,1.0,1.0,4,1,8,2.0,4.0,6.0,16,225,4,25,4,365,144,0,0,strict,0,1,1,1.45,95.0
< 1 hour ,93.48038995125609,0,7.0,7.0,2,1,2,1.0,1.0,2.0,5,59,1,0,2,29,5,0,0,strict,0,0,7,0.06,90.0
< 1 hour ,93.48038995125609,0,1.0,1.0,5,1,2,1.0,1.0,1.0,28,210,1,15,5,90,47,0,1,strict,1,1,1,0.49,95.0
1 day,80.0,0,7.0,7.0,4,1,4,1.0,1.0,4.0,14,125,2,25,7,1125,55,0,0,strict,0,0,7,0.57,88.0
days,20.0,0,1.0,1.0,5,1,1,1.0,1.0,1.0,10,60,1,100,10,365,15,0,0,moderate,0,0,1,0.41,87.0
1 day,60.0,0,2.0,2.0,5,1,4,1.0,2.0,2.0,16,170,2,25,1,10,41,0,0,strict,1,1,2,0.44,90.0
< 1 hour ,93.48038995125609,0,7.0,7.0,2,1,2,1.0,1.0,2.0,6,69,1,0,2,27,21,0,0,strict,0,0,7,0.21,79.0
1 day,100.0,0,3.0,3.0,6,1,12,1.0,3.0,6.0,10,180,4,20,5,60,48,1,0,strict,0,0,3,0.67,80.0
1 day,100.0,0,3.0,3.0,6,1,6,1.0,3.0,5.0,9,180,4,20,5,100,30,1,0,strict,0,0,3,0.42,86.0
1 day,100.0,0,3.0,3.0,6,1,8,1.0,3.0,5.0,10,180,4,20,30,100,35,1,0,strict,0,0,3,0.45,81.0
< 1 hour ,100.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,18,65,1,30,2,28,19,1,0,strict,0,0,2,1.33,94.0
< 1 hour ,100.0,1,1.0,1.0,10,1,2,1.0,1.0,1.0,26,105,1,25,2,365,63,0,0,strict,0,0,1,0.65,97.0
days,33.0,0,1.0,1.0,5,1,2,1.0,1.0,1.0,18,170,1,0,5,30,17,0,0,strict,0,0,1,0.19,96.0
< 1 hour ,100.0,0,1.0,1.0,4,1,2,1.0,1.0,1.0,11,240,1,20,1,30,106,1,0,strict,0,0,1,1.35,86.0
hours,100.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,13,90,1,0,7,365,13,0,0,strict,1,0,2,0.13,98.0
hours,100.0,0,2.0,2.0,4,1,2,1.0,1.0,1.0,11,70,1,10,7,365,24,0,0,strict,1,0,2,0.25,100.0
< 1 hour ,100.0,1,5.0,5.0,4,1,2,2.5,1.0,1.0,44,85,2,50,3,30,120,0,0,strict,1,1,1,1.26,97.0
< 1 hour ,100.0,0,1.0,1.0,5,1,3,2.5,1.0,1.0,19,119,1,50,3,1125,132,1,0,strict,0,0,1,1.55,99.0
< 1 hour ,100.0,0,4.0,4.0,4,1,4,1.0,1.0,2.0,20,129,2,14,3,90,55,1,0,strict,1,1,4,0.57,88.0
< 1 hour ,100.0,0,1.0,1.0,3,1,4,1.0,2.0,2.0,18,120,2,50,31,365,49,0,0,strict,0,0,1,0.52,94.0
hours,100.0,0,2.0,2.0,7,1,4,1.0,2.0,3.0,24,285,2,25,5,1125,61,0,0,strict,0,1,1,0.63,87.0
